group,x,y,prior
data,-4,0.0027076556467086513,"N(0, 50)"
data,-4,0.0027076556467086513,"N(0, 10)"
data,-3,0.0036117498584149733,"Uniform(-Inf, Inf)"
data,-3,0.0036117498584149733,"N(-50, 10)"
data,-3,0.0036117498584149733,"N(-50, 50)"
data,-3,0.0036117498584149733,"N(0, 50)"
data,-3,0.0036117498584149733,"N(0, 10)"
data,-2,0.004745559896638876,"Uniform(-Inf, Inf)"
data,-2,0.004745559896638876,"N(-50, 10)"
data,-2,0.004745559896638876,"N(-50, 50)"
data,-2,0.004745559896638876,"N(0, 50)"
data,-2,0.004745559896638876,"N(0, 10)"
